Prompt ,,,,Delayed,,,,ΔT [min],ΔR [m],LR,Date
Energy [MeV],x [m],y [m],z [m],Energy [MeV],x [m],y [m],z [m],,,,
7.71,-3.18,-0.22,3.92,1.02,-2.49,0.03,4.35,2.23,0.85,-6.43,05/05/2022
-,-,-,-,1.03,-2.67,0.07,3.7,35.75,0.62,-5.71,05/05/2022
5.59,1.63,-0.37,1.92,1.12,1.32,0.48,2.01,18.24,0.91,-7.3,09/05/2022
9.55,0.15,-0.98,5.16,1.04,0.62,-1.09,4.95,30.99,0.52,-3.49,17/05/2022
-,-,-,-,1.03,0.01,-1.61,4.98,31.91,0.67,-6.06,17/05/2022
5.12,-0.99,-0.82,-3.7,1.08,-0.75,-0.69,-3.52,48.13,0.33,-1.21,21/05/2022
6.03,1.78,1.51,-1.64,1.08,2,0.84,-1.07,54.62,0.9,-10.3,27/05/2022
8.77,2.25,2.77,-0.09,1.03,1.64,2.68,-0.69,7.45,0.86,-7.23,30/05/2022
-,-,-,-,1.07,1.84,2.44,-0.65,27.18,0.77,-6.86,30/05/2022
5.42,-2.14,1.34,0.39,1.11,-2.54,1.34,-0.38,52.04,0.87,-8.75,13/06/2022
8.14,3.66,-3.25,1.45,1.07,3.18,-3.38,1.39,31.91,0.5,-2.56,20/06/2022
-,-,-,-,1.47,3.56,-3.31,1.54,3.96,0.14,6.02,20/06/2022
5.89,0.14,-0.83,5.19,1.07,0.03,-1.64,4.89,27.29,0.87,-7.7,20/06/2022
5.2,-1.64,-2.34,-4.01,1.08,-2.1,-1.92,-3.84,19.85,0.64,-4.31,22/06/2022
7.09,-3.84,-2.72,1.64,1.04,-3.64,-3,0.88,30.22,0.83,-8.08,17/07/2022
9.91,-2.08,-3.68,-2.99,1.07,-2.08,-3.93,-2.25,46.04,0.78,-8.03,10/08/2022
5.14,0.23,-0.46,3.71,1.11,0.53,0.05,4.03,31.35,0.68,-5.29,22/08/2022
6.42,1.06,-2.31,-1.09,1,1.38,-2.6,-1.74,33.81,0.78,-8.35,29/08/2022
6.22,-1.54,1.81,2.63,1.44,-1.34,2.47,2.81,6.5,0.71,-2.34,06/09/2022
5.76,0.33,-0.93,5.06,1.15,-0.04,-1.62,4.61,3.31,0.89,-5.36,11/09/2022
-,-,-,-,1.11,-0.16,-1.34,4.89,3.58,0.65,-2.85,11/09/2022
5.67,0.45,1.12,-2.81,1.07,0.52,1.33,-2.53,45.9,0.36,-1.47,12/09/2022
6.53,-3.41,1.76,-0.08,1.36,-2.97,2.37,0.05,23.13,0.77,-3.05,25/09/2022
9.3,-3.19,-1.95,-1.4,1.09,-3.51,-2.39,-1.49,17.95,0.55,-2.06,30/09/2022
5.92,-2.32,-3.79,0.08,1.14,-2.16,-3.97,0.21,4.6,0.27,3,03/10/2022
5.92,-2.32,-3.79,0.08,1.01,-2.24,-3.72,-0.23,57.52,0.32,-2.61,03/10/2022
5.85,2.72,1.21,3.01,1.73,2.66,1.04,2.21,16.64,0.82,-4.03,08/10/2022
5.76,-3.05,0.55,3.74,1.01,-3.31,1,3.48,7.31,0.59,-3.51,29/10/2022
9.17,-5.06,-0.77,1.02,1.63,-4.61,-1.59,1.17,26.62,0.95,-6.48,30/10/2022
10.15,-0.22,1.28,-1.98,1.34,-0.32,1.83,-2.74,15.34,0.94,-5.38,05/11/2022
7.31,-1.13,-2.23,-3.99,1.13,-1.22,-2.23,-3.9,9.72,0.13,3.49,17/11/2022
7.91,2.06,-2.63,-3.47,1.79,2.52,-1.99,-4.05,30.93,0.98,-7.41,21/11/2022
8.5,2.92,3.53,-0.26,1.6,3.2,4.14,0.27,11.63,0.86,-3.78,26/11/2022
12.95,0.27,-1.12,4.09,1,0.1,-1,4.66,48.95,0.6,-6.36,04/12/2022
9.43,0.62,2.85,-0.4,1.35,1.31,2.43,-0.93,27.33,0.96,-6.98,19/12/2022
8.89,0.67,0,-0.2,1.11,0.89,-0.26,0.39,0.52,0.67,-3.24,23/12/2022
7.52,3.8,0.97,0.98,1,3.76,1.29,0.9,55.71,0.34,-2.8,10/01/2023
-,-,-,-,1.01,3.21,0.87,0.37,5.21,0.85,-6.81,10/01/2023
7.31,0.5,0.37,4.71,1.01,0.16,1.16,4.33,46.56,0.94,-10.92,18/01/2023
-,-,-,-,1.04,0.5,0.11,3.97,51.27,0.79,-9.86,18/01/2023
8.35,0.68,-1.65,-2.44,1.04,1.23,-1.63,-1.82,39.74,0.82,-8.88,20/01/2023
6.02,-3.54,-2.85,2.18,1.03,-3.17,-3.27,1.52,52.33,0.87,-10.23,20/01/2023
5.9,0.22,-0.85,4.29,1.11,0.87,-0.77,4.65,3.48,0.75,-4.05,22/01/2023
5.95,3.56,-2.52,-0.96,1.02,3.72,-3.12,-1.58,38.09,0.88,-9.33,23/01/2023
9.9,0.6,-1.03,-4.98,1.08,1.01,-0.51,-4.86,25.78,0.68,-5.39,23/01/2023
-,-,-,-,1.01,0.17,-0.82,-5.22,56.08,0.54,-5.79,23/01/2023
